day,original_day,date,demand,price,revenue,dow,month,year,snap,event_name,event_type,is_event,is_weekend
84,85,2011-04-23,0,1.25,0.0,5,4,2011,False,,,False,True
85,86,2011-04-24,0,1.25,0.0,6,4,2011,False,OrthodoxEaster,Religious,True,True
86,87,2011-04-25,0,1.25,0.0,0,4,2011,False,,,False,False
87,88,2011-04-26,0,1.25,0.0,1,4,2011,False,Pesach End,Religious,True,False
88,89,2011-04-27,0,1.25,0.0,2,4,2011,False,,,False,False
89,90,2011-04-28,0,1.25,0.0,3,4,2011,False,,,False,False
90,91,2011-04-29,0,1.25,0.0,4,4,2011,False,,,False,False
91,92,2011-04-30,0,1.25,0.0,5,4,2011,False,,,False,True
92,93,2011-05-01,0,1.25,0.0,6,5,2011,True,,,False,True
93,94,2011-05-02,0,1.25,0.0,0,5,2011,True,,,False,False
94,95,2011-05-03,0,1.25,0.0,1,5,2011,True,,,False,False
95,96,2011-05-04,0,1.25,0.0,2,5,2011,True,,,False,False
96,97,2011-05-05,0,1.25,0.0,3,5,2011,True,Cinco De Mayo,Cultural,True,False
97,98,2011-05-06,0,1.25,0.0,4,5,2011,True,,,False,False
98,99,2011-05-07,0,1.25,0.0,5,5,2011,True,,,False,True
99,100,2011-05-08,0,1.25,0.0,6,5,2011,True,Mother's day,Cultural,True,True
100,101,2011-05-09,0,1.25,0.0,0,5,2011,True,,,False,False
101,102,2011-05-10,0,1.25,0.0,1,5,2011,True,,,False,False
102,103,2011-05-11,0,1.25,0.0,2,5,2011,False,,,False,False
103,104,2011-05-12,0,1.25,0.0,3,5,2011,False,,,False,False
104,105,2011-05-13,0,1.25,0.0,4,5,2011,False,,,False,False
105,106,2011-05-14,0,1.25,0.0,5,5,2011,False,,,False,True
106,107,2011-05-15,0,1.25,0.0,6,5,2011,False,,,False,True
107,108,2011-05-16,0,1.25,0.0,0,5,2011,False,,,False,False
108,109,2011-05-17,0,1.25,0.0,1,5,2011,False,,,False,False
109,110,2011-05-18,0,1.25,0.0,2,5,2011,False,,,False,False
110,111,2011-05-19,0,1.25,0.0,3,5,2011,False,,,False,False
111,112,2011-05-20,0,1.25,0.0,4,5,2011,False,,,False,False
112,113,2011-05-21,0,1.25,0.0,5,5,2011,False,,,False,True
113,114,2011-05-22,0,1.25,0.0,6,5,2011,False,,,False,True
114,115,2011-05-23,0,1.25,0.0,0,5,2011,False,,,False,False
115,116,2011-05-24,0,1.25,0.0,1,5,2011,False,,,False,False
116,117,2011-05-25,0,1.25,0.0,2,5,2011,False,,,False,False
117,118,2011-05-26,0,1.25,0.0,3,5,2011,False,,,False,False
118,119,2011-05-27,0,1.25,0.0,4,5,2011,False,,,False,False
119,120,2011-05-28,0,1.25,0.0,5,5,2011,False,,,False,True
120,121,2011-05-29,0,1.25,0.0,6,5,2011,False,,,False,True
121,122,2011-05-30,0,1.25,0.0,0,5,2011,False,MemorialDay,National,True,False
122,123,2011-05-31,0,1.25,0.0,1,5,2011,False,NBAFinalsStart,Sporting,True,False
123,124,2011-06-01,0,1.25,0.0,2,6,2011,True,,,False,False
124,125,2011-06-02,0,1.25,0.0,3,6,2011,True,,,False,False
125,126,2011-06-03,0,1.25,0.0,4,6,2011,True,,,False,False
126,127,2011-06-04,0,1.25,0.0,5,6,2011,True,,,False,True
127,128,2011-06-05,0,1.25,0.0,6,6,2011,True,,,False,True
128,129,2011-06-06,0,1.25,0.0,0,6,2011,True,,,False,False
129,130,2011-06-07,0,1.25,0.0,1,6,2011,True,,,False,False
130,131,2011-06-08,0,1.25,0.0,2,6,2011,True,,,False,False
131,132,2011-06-09,0,1.25,0.0,3,6,2011,True,,,False,False
132,133,2011-06-10,0,1.25,0.0,4,6,2011,True,,,False,False
133,134,2011-06-11,0,1.25,0.0,5,6,2011,False,,,False,True
134,135,2011-06-12,0,1.25,0.0,6,6,2011,False,NBAFinalsEnd,Sporting,True,True
135,136,2011-06-13,0,1.25,0.0,0,6,2011,False,,,False,False
136,137,2011-06-14,0,1.25,0.0,1,6,2011,False,,,False,False
137,138,2011-06-15,0,1.25,0.0,2,6,2011,False,,,False,False
138,139,2011-06-16,0,1.25,0.0,3,6,2011,False,,,False,False
139,140,2011-06-17,0,1.25,0.0,4,6,2011,False,,,False,False
140,141,2011-06-18,0,1.25,0.0,5,6,2011,False,,,False,True
141,142,2011-06-19,0,1.25,0.0,6,6,2011,False,Father's day,Cultural,True,True
142,143,2011-06-20,0,1.25,0.0,0,6,2011,False,,,False,False
143,144,2011-06-21,0,1.25,0.0,1,6,2011,False,,,False,False
144,145,2011-06-22,0,1.25,0.0,2,6,2011,False,,,False,False
145,146,2011-06-23,0,1.25,0.0,3,6,2011,False,,,False,False
146,147,2011-06-24,0,1.25,0.0,4,6,2011,False,,,False,False
147,148,2011-06-25,0,1.25,0.0,5,6,2011,False,,,False,True
148,149,2011-06-26,0,1.25,0.0,6,6,2011,False,,,False,True
149,150,2011-06-27,0,1.25,0.0,0,6,2011,False,,,False,False
150,151,2011-06-28,0,1.25,0.0,1,6,2011,False,,,False,False
151,152,2011-06-29,0,1.25,0.0,2,6,2011,False,,,False,False
152,153,2011-06-30,0,1.25,0.0,3,6,2011,False,,,False,False
153,154,2011-07-01,0,1.25,0.0,4,7,2011,True,,,False,False
154,155,2011-07-02,0,1.25,0.0,5,7,2011,True,,,False,True
155,156,2011-07-03,0,1.25,0.0,6,7,2011,True,,,False,True
156,157,2011-07-04,0,1.25,0.0,0,7,2011,True,IndependenceDay,National,True,False
157,158,2011-07-05,0,1.25,0.0,1,7,2011,True,,,False,False
158,159,2011-07-06,0,1.25,0.0,2,7,2011,True,,,False,False
159,160,2011-07-07,0,1.25,0.0,3,7,2011,True,,,False,False
160,161,2011-07-08,0,1.25,0.0,4,7,2011,True,,,False,False
161,162,2011-07-09,0,1.25,0.0,5,7,2011,True,,,False,True
162,163,2011-07-10,0,1.25,0.0,6,7,2011,True,,,False,True
163,164,2011-07-11,0,1.25,0.0,0,7,2011,False,,,False,False
164,165,2011-07-12,0,1.25,0.0,1,7,2011,False,,,False,False
165,166,2011-07-13,0,1.25,0.0,2,7,2011,False,,,False,False
166,167,2011-07-14,0,1.25,0.0,3,7,2011,False,,,False,False
167,168,2011-07-15,0,1.25,0.0,4,7,2011,False,,,False,False
168,169,2011-07-16,0,1.25,0.0,5,7,2011,False,,,False,True
169,170,2011-07-17,0,1.25,0.0,6,7,2011,False,,,False,True
170,171,2011-07-18,0,1.25,0.0,0,7,2011,False,,,False,False
171,172,2011-07-19,0,1.25,0.0,1,7,2011,False,,,False,False
172,173,2011-07-20,0,1.25,0.0,2,7,2011,False,,,False,False
173,174,2011-07-21,0,1.25,0.0,3,7,2011,False,,,False,False
174,175,2011-07-22,0,1.25,0.0,4,7,2011,False,,,False,False
175,176,2011-07-23,0,1.25,0.0,5,7,2011,False,,,False,True
176,177,2011-07-24,0,1.25,0.0,6,7,2011,False,,,False,True
177,178,2011-07-25,0,1.25,0.0,0,7,2011,False,,,False,False
178,179,2011-07-26,0,1.25,0.0,1,7,2011,False,,,False,False
179,180,2011-07-27,0,1.25,0.0,2,7,2011,False,,,False,False
180,181,2011-07-28,0,1.25,0.0,3,7,2011,False,,,False,False
181,182,2011-07-29,0,1.25,0.0,4,7,2011,False,,,False,False
182,183,2011-07-30,0,1.25,0.0,5,7,2011,False,,,False,True
183,184,2011-07-31,0,1.25,0.0,6,7,2011,False,,,False,True
184,185,2011-08-01,0,1.25,0.0,0,8,2011,True,Ramadan starts,Religious,True,False
185,186,2011-08-02,0,1.25,0.0,1,8,2011,True,,,False,False
186,187,2011-08-03,0,1.25,0.0,2,8,2011,True,,,False,False
187,188,2011-08-04,0,1.25,0.0,3,8,2011,True,,,False,False
188,189,2011-08-05,0,1.25,0.0,4,8,2011,True,,,False,False
189,190,2011-08-06,0,1.25,0.0,5,8,2011,True,,,False,True
190,191,2011-08-07,0,1.25,0.0,6,8,2011,True,,,False,True
191,192,2011-08-08,0,1.25,0.0,0,8,2011,True,,,False,False
192,193,2011-08-09,0,1.25,0.0,1,8,2011,True,,,False,False
193,194,2011-08-10,0,1.25,0.0,2,8,2011,True,,,False,False
194,195,2011-08-11,0,1.25,0.0,3,8,2011,False,,,False,False
195,196,2011-08-12,0,1.25,0.0,4,8,2011,False,,,False,False
196,197,2011-08-13,0,1.25,0.0,5,8,2011,False,,,False,True
197,198,2011-08-14,0,1.25,0.0,6,8,2011,False,,,False,True
198,199,2011-08-15,0,1.25,0.0,0,8,2011,False,,,False,False
199,200,2011-08-16,0,1.25,0.0,1,8,2011,False,,,False,False
200,201,2011-08-17,0,1.25,0.0,2,8,2011,False,,,False,False
201,202,2011-08-18,0,1.25,0.0,3,8,2011,False,,,False,False
202,203,2011-08-19,0,1.25,0.0,4,8,2011,False,,,False,False
203,204,2011-08-20,0,1.25,0.0,5,8,2011,False,,,False,True
204,205,2011-08-21,0,1.25,0.0,6,8,2011,False,,,False,True
205,206,2011-08-22,0,1.25,0.0,0,8,2011,False,,,False,False
206,207,2011-08-23,0,1.25,0.0,1,8,2011,False,,,False,False
207,208,2011-08-24,0,1.25,0.0,2,8,2011,False,,,False,False
208,209,2011-08-25,0,1.25,0.0,3,8,2011,False,,,False,False
209,210,2011-08-26,0,1.25,0.0,4,8,2011,False,,,False,False
210,211,2011-08-27,0,1.25,0.0,5,8,2011,False,,,False,True
211,212,2011-08-28,0,1.25,0.0,6,8,2011,False,,,False,True
212,213,2011-08-29,0,1.25,0.0,0,8,2011,False,,,False,False
213,214,2011-08-30,0,1.25,0.0,1,8,2011,False,,,False,False
214,215,2011-08-31,0,1.25,0.0,2,8,2011,False,Eid al-Fitr,Religious,True,False
215,216,2011-09-01,0,1.25,0.0,3,9,2011,True,,,False,False
216,217,2011-09-02,0,1.25,0.0,4,9,2011,True,,,False,False
217,218,2011-09-03,0,1.25,0.0,5,9,2011,True,,,False,True
218,219,2011-09-04,0,1.25,0.0,6,9,2011,True,,,False,True
219,220,2011-09-05,0,1.25,0.0,0,9,2011,True,LaborDay,National,True,False
220,221,2011-09-06,0,1.25,0.0,1,9,2011,True,,,False,False
221,222,2011-09-07,0,1.25,0.0,2,9,2011,True,,,False,False
222,223,2011-09-08,0,1.25,0.0,3,9,2011,True,,,False,False
223,224,2011-09-09,0,1.25,0.0,4,9,2011,True,,,False,False
224,225,2011-09-10,0,1.25,0.0,5,9,2011,True,,,False,True
225,226,2011-09-11,0,1.25,0.0,6,9,2011,False,,,False,True
226,227,2011-09-12,0,1.25,0.0,0,9,2011,False,,,False,False
227,228,2011-09-13,0,1.25,0.0,1,9,2011,False,,,False,False
228,229,2011-09-14,0,1.25,0.0,2,9,2011,False,,,False,False
229,230,2011-09-15,0,1.25,0.0,3,9,2011,False,,,False,False
230,231,2011-09-16,0,1.25,0.0,4,9,2011,False,,,False,False
231,232,2011-09-17,0,1.28,0.0,5,9,2011,False,,,False,True
232,233,2011-09-18,0,1.28,0.0,6,9,2011,False,,,False,True
233,234,2011-09-19,0,1.28,0.0,0,9,2011,False,,,False,False
234,235,2011-09-20,0,1.28,0.0,1,9,2011,False,,,False,False
235,236,2011-09-21,0,1.28,0.0,2,9,2011,False,,,False,False
236,237,2011-09-22,0,1.28,0.0,3,9,2011,False,,,False,False
237,238,2011-09-23,145,1.28,185.6,4,9,2011,False,,,False,False
238,239,2011-09-24,126,1.28,161.28,5,9,2011,False,,,False,True
239,240,2011-09-25,100,1.28,128.0,6,9,2011,False,,,False,True
240,241,2011-09-26,106,1.28,135.68,0,9,2011,False,,,False,False
241,242,2011-09-27,80,1.28,102.4,1,9,2011,False,,,False,False
242,243,2011-09-28,130,1.28,166.4,2,9,2011,False,,,False,False
243,244,2011-09-29,60,1.28,76.8,3,9,2011,False,,,False,False
244,245,2011-09-30,156,1.28,199.68,4,9,2011,False,,,False,False
245,246,2011-10-01,202,1.28,258.56,5,10,2011,True,,,False,True
246,247,2011-10-02,26,1.28,33.28,6,10,2011,True,,,False,True
247,248,2011-10-03,51,1.28,65.28,0,10,2011,True,,,False,False
248,249,2011-10-04,124,1.28,158.72,1,10,2011,True,,,False,False
249,250,2011-10-05,133,1.28,170.24,2,10,2011,True,,,False,False
250,251,2011-10-06,44,1.28,56.32,3,10,2011,True,,,False,False
251,252,2011-10-07,128,1.28,163.84,4,10,2011,True,,,False,False
252,253,2011-10-08,168,1.28,215.04,5,10,2011,True,,,False,True
253,254,2011-10-09,146,1.28,186.88,6,10,2011,True,,,False,True
254,255,2011-10-10,51,1.28,65.28,0,10,2011,True,ColumbusDay,National,True,False
255,256,2011-10-11,176,1.28,225.28,1,10,2011,False,,,False,False
256,257,2011-10-12,96,1.28,122.88,2,10,2011,False,,,False,False
257,258,2011-10-13,100,1.28,128.0,3,10,2011,False,,,False,False
258,259,2011-10-14,105,1.28,134.4,4,10,2011,False,,,False,False
259,260,2011-10-15,122,1.28,156.16,5,10,2011,False,,,False,True
260,261,2011-10-16,112,1.28,143.36,6,10,2011,False,,,False,True
261,262,2011-10-17,68,1.28,87.04,0,10,2011,False,,,False,False
262,263,2011-10-18,121,1.28,154.88,1,10,2011,False,,,False,False
263,264,2011-10-19,106,1.28,135.68,2,10,2011,False,,,False,False
264,265,2011-10-20,104,1.28,133.12,3,10,2011,False,,,False,False
265,266,2011-10-21,270,1.28,345.6,4,10,2011,False,,,False,False
266,267,2011-10-22,187,1.28,239.36,5,10,2011,False,,,False,True
267,268,2011-10-23,252,1.28,322.56,6,10,2011,False,,,False,True
268,269,2011-10-24,138,1.28,176.64000000000001,0,10,2011,False,,,False,False
269,270,2011-10-25,223,1.28,285.44,1,10,2011,False,,,False,False
270,271,2011-10-26,100,1.28,128.0,2,10,2011,False,,,False,False
271,272,2011-10-27,141,1.28,180.48,3,10,2011,False,,,False,False
272,273,2011-10-28,134,1.28,171.52,4,10,2011,False,,,False,False
273,274,2011-10-29,254,1.28,325.12,5,10,2011,False,,,False,True
274,275,2011-10-30,225,1.28,288.0,6,10,2011,False,,,False,True
275,276,2011-10-31,132,1.28,168.96,0,10,2011,False,Halloween,Cultural,True,False
276,277,2011-11-01,215,1.28,275.2,1,11,2011,True,,,False,False
277,278,2011-11-02,128,1.28,163.84,2,11,2011,True,,,False,False
278,279,2011-11-03,100,1.28,128.0,3,11,2011,True,,,False,False
279,280,2011-11-04,120,1.28,153.6,4,11,2011,True,,,False,False
280,281,2011-11-05,143,1.28,183.04,5,11,2011,True,,,False,True
281,282,2011-11-06,150,1.28,192.0,6,11,2011,True,,,False,True
282,283,2011-11-07,82,1.28,104.96000000000001,0,11,2011,True,EidAlAdha,Religious,True,False
283,284,2011-11-08,101,1.28,129.28,1,11,2011,True,,,False,False
284,285,2011-11-09,157,1.28,200.96,2,11,2011,True,,,False,False
285,286,2011-11-10,146,1.28,186.88,3,11,2011,True,,,False,False
286,287,2011-11-11,166,1.28,212.48000000000002,4,11,2011,False,VeteransDay,National,True,False
287,288,2011-11-12,178,1.28,227.84,5,11,2011,False,,,False,True
288,289,2011-11-13,212,1.28,271.36,6,11,2011,False,,,False,True
289,290,2011-11-14,156,1.28,199.68,0,11,2011,False,,,False,False
290,291,2011-11-15,114,1.28,145.92000000000002,1,11,2011,False,,,False,False
291,292,2011-11-16,54,1.28,69.12,2,11,2011,False,,,False,False
292,293,2011-11-17,130,1.28,166.4,3,11,2011,False,,,False,False
293,294,2011-11-18,145,1.28,185.6,4,11,2011,False,,,False,False
294,295,2011-11-19,211,1.28,270.08,5,11,2011,False,,,False,True
295,296,2011-11-20,170,1.28,217.6,6,11,2011,False,,,False,True
296,297,2011-11-21,38,1.28,48.64,0,11,2011,False,,,False,False
297,298,2011-11-22,193,1.28,247.04,1,11,2011,False,,,False,False
298,299,2011-11-23,322,1.28,412.16,2,11,2011,False,,,False,False
299,300,2011-11-24,180,1.28,230.4,3,11,2011,False,Thanksgiving,National,True,False
300,301,2011-11-25,104,1.28,133.12,4,11,2011,False,,,False,False
301,302,2011-11-26,129,1.28,165.12,5,11,2011,False,,,False,True
302,303,2011-11-27,128,1.28,163.84,6,11,2011,False,,,False,True
303,304,2011-11-28,78,1.28,99.84,0,11,2011,False,,,False,False
304,305,2011-11-29,81,1.28,103.68,1,11,2011,False,,,False,False
305,306,2011-11-30,120,1.28,153.6,2,11,2011,False,,,False,False
306,307,2011-12-01,63,1.28,80.64,3,12,2011,True,,,False,False
307,308,2011-12-02,130,1.28,166.4,4,12,2011,True,,,False,False
308,309,2011-12-03,159,1.28,203.52,5,12,2011,True,,,False,True
309,310,2011-12-04,143,1.28,183.04,6,12,2011,True,,,False,True
310,311,2011-12-05,91,1.28,116.48,0,12,2011,True,,,False,False
311,312,2011-12-06,67,1.28,85.76,1,12,2011,True,,,False,False
312,313,2011-12-07,100,1.28,128.0,2,12,2011,True,,,False,False
313,314,2011-12-08,97,1.28,124.16,3,12,2011,True,,,False,False
314,315,2011-12-09,107,1.28,136.96,4,12,2011,True,,,False,False
315,316,2011-12-10,174,1.28,222.72,5,12,2011,True,,,False,True
316,317,2011-12-11,159,1.28,203.52,6,12,2011,False,,,False,True
317,318,2011-12-12,61,1.28,78.08,0,12,2011,False,,,False,False
318,319,2011-12-13,47,1.28,60.160000000000004,1,12,2011,False,,,False,False
319,320,2011-12-14,118,1.28,151.04,2,12,2011,False,,,False,False
320,321,2011-12-15,133,1.28,170.24,3,12,2011,False,,,False,False
321,322,2011-12-16,146,1.28,186.88,4,12,2011,False,,,False,False
322,323,2011-12-17,154,1.28,197.12,5,12,2011,False,,,False,True
323,324,2011-12-18,116,1.28,148.48,6,12,2011,False,,,False,True
324,325,2011-12-19,92,1.28,117.76,0,12,2011,False,,,False,False
325,326,2011-12-20,102,1.28,130.56,1,12,2011,False,,,False,False
326,327,2011-12-21,145,1.28,185.6,2,12,2011,False,,,False,False
327,328,2011-12-22,178,1.28,227.84,3,12,2011,False,,,False,False
328,329,2011-12-23,213,1.28,272.64,4,12,2011,False,,,False,False
329,330,2011-12-24,271,1.28,346.88,5,12,2011,False,,,False,True
330,331,2011-12-25,0,1.28,0.0,6,12,2011,False,Christmas,National,True,True
331,332,2011-12-26,121,1.28,154.88,0,12,2011,False,,,False,False
332,333,2011-12-27,70,1.28,89.60000000000001,1,12,2011,False,,,False,False
333,334,2011-12-28,137,1.28,175.36,2,12,2011,False,Chanukah End,Religious,True,False
334,335,2011-12-29,123,1.28,157.44,3,12,2011,False,,,False,False
335,336,2011-12-30,216,1.28,276.48,4,12,2011,False,,,False,False
336,337,2011-12-31,206,1.28,263.68,5,12,2011,False,,,False,True
337,338,2012-01-01,56,1.28,71.68,6,1,2012,True,NewYear,National,True,True
338,339,2012-01-02,57,1.28,72.96000000000001,0,1,2012,True,,,False,False
339,340,2012-01-03,76,1.28,97.28,1,1,2012,True,,,False,False
340,341,2012-01-04,44,1.28,56.32,2,1,2012,True,,,False,False
341,342,2012-01-05,108,1.28,138.24,3,1,2012,True,,,False,False
342,343,2012-01-06,103,1.28,131.84,4,1,2012,True,,,False,False
343,344,2012-01-07,121,1.28,154.88,5,1,2012,True,OrthodoxChristmas,Religious,True,True
344,345,2012-01-08,186,1.28,238.08,6,1,2012,True,,,False,True
345,346,2012-01-09,52,1.28,66.56,0,1,2012,True,,,False,False
346,347,2012-01-10,52,1.28,66.56,1,1,2012,True,,,False,False
347,348,2012-01-11,94,1.28,120.32000000000001,2,1,2012,False,,,False,False
348,349,2012-01-12,65,1.28,83.2,3,1,2012,False,,,False,False
349,350,2012-01-13,98,1.28,125.44,4,1,2012,False,,,False,False
350,351,2012-01-14,186,1.28,238.08,5,1,2012,False,,,False,True
351,352,2012-01-15,117,1.28,149.76,6,1,2012,False,,,False,True
352,353,2012-01-16,83,1.28,106.24000000000001,0,1,2012,False,MartinLutherKingDay,National,True,False
353,354,2012-01-17,84,1.28,107.52,1,1,2012,False,,,False,False
354,355,2012-01-18,69,1.28,88.32000000000001,2,1,2012,False,,,False,False
355,356,2012-01-19,51,1.28,65.28,3,1,2012,False,,,False,False
356,357,2012-01-20,129,1.28,165.12,4,1,2012,False,,,False,False
357,358,2012-01-21,158,1.28,202.24,5,1,2012,False,,,False,True
358,359,2012-01-22,126,1.28,161.28,6,1,2012,False,,,False,True
359,360,2012-01-23,50,1.28,64.0,0,1,2012,False,,,False,False
360,361,2012-01-24,100,1.28,128.0,1,1,2012,False,,,False,False
361,362,2012-01-25,79,1.28,101.12,2,1,2012,False,,,False,False
362,363,2012-01-26,56,1.28,71.68,3,1,2012,False,,,False,False
363,364,2012-01-27,120,1.28,153.6,4,1,2012,False,,,False,False
364,365,2012-01-28,82,1.28,104.96000000000001,5,1,2012,False,,,False,True
365,366,2012-01-29,97,1.28,124.16,6,1,2012,False,,,False,True
366,367,2012-01-30,124,1.28,158.72,0,1,2012,False,,,False,False
367,368,2012-01-31,53,1.28,67.84,1,1,2012,False,,,False,False
368,369,2012-02-01,92,1.28,117.76,2,2,2012,True,,,False,False
369,370,2012-02-02,50,1.28,64.0,3,2,2012,True,,,False,False
370,371,2012-02-03,114,1.28,145.92000000000002,4,2,2012,True,,,False,False
371,372,2012-02-04,165,1.28,211.20000000000002,5,2,2012,True,,,False,True
372,373,2012-02-05,115,1.28,147.20000000000002,6,2,2012,True,SuperBowl,Sporting,True,True
373,374,2012-02-06,57,1.28,72.96000000000001,0,2,2012,True,,,False,False
374,375,2012-02-07,36,1.28,46.08,1,2,2012,True,,,False,False
375,376,2012-02-08,133,1.28,170.24,2,2,2012,True,,,False,False
376,377,2012-02-09,71,1.28,90.88,3,2,2012,True,,,False,False
